Year,Empirical Average,Synthetic Average,Average Difference,Empirical Median,Synthetic Median,Median Difference,Empirical Variance,Synthetic Variance,Variance Difference,RMSE
2012,30.14712656187978,31.680731616091563,-1.5336050542117832,23.0,29.34384,-6.34384,1134.869754774784,158.72590133472204,976.143853440062,31.724750105933886
2013,34.028765515032305,37.37711365899697,-3.348348143964664,29.55,33.423753999999995,-3.8737539999999946,235.515465867373,182.27268159881703,53.242784268555965,14.553608465216655
2014,40.677985347297714,40.28027689888983,0.397708448407883,33.04,33.8521705,-0.8121705000000006,987.2034999071539,281.629119764953,705.5743801422009,27.84076283916827
2015,27.92593839053795,26.910447699684532,1.0154906908534187,21.65,24.132937951275,-2.4829379512750016,919.080870407209,145.50392888816359,773.5769415190454,28.10983881092408
2016,24.34786353959757,26.621137644558047,-2.2732741049604783,19.63,23.195308,-3.5653080000000017,185.3065444289264,192.56482455519696,-7.258280126270563,12.297051750558563
2017,26.029619068276876,31.108845460973086,-5.07922639269621,22.035,27.914388,-5.879387999999999,102.05712524151123,212.91174977493958,-110.85462453342835,12.99240026267586
2018,36.63157996356282,36.73341016706474,-0.10183020350191896,24.6,31.260130000000004,-6.660130000000002,2918.8131296573206,1568.8939549980744,1349.9191746592462,42.28411354231155
2019,39.20389116653182,28.764910846971038,10.43898031956078,20.555,23.882824999999997,-3.327824999999997,6004.125224650043,1084.9549503224857,4919.170274327556,68.97659757732096
2020,23.92936616686778,22.469389889974256,1.4599762768935243,17.54,19.75778497,-2.2177849700000003,808.4287601087561,610.1471291214857,198.28163098727043,21.102307457704796
2021,58.665676652065684,42.34433053801091,16.321346114054776,27.955,34.226744541936185,-6.271744541936187,18177.550257745297,690.0000283851441,17487.550229360153,125.69153177484982
