,Time_Index,NG,None,coal,uranium
0,0,0.05306,0,0.095487528,0
1,1,2.54,0,2.483801296,0.705536
2,2,2.54,0,2.483801296,0.705536
3,3,2.54,0,2.483801296,0.705536
4,4,2.54,0,2.483801296,0.705536
5,5,2.54,0,2.483801296,0.705536
6,6,2.54,0,2.483801296,0.705536
7,7,2.54,0,2.483801296,0.705536
8,8,2.54,0,2.483801296,0.705536
9,9,2.54,0,2.483801296,0.705536
10,10,2.54,0,2.483801296,0.705536
11,11,2.54,0,2.483801296,0.705536
12,12,2.54,0,2.483801296,0.705536
13,13,2.54,0,2.483801296,0.705536
14,14,2.54,0,2.483801296,0.705536
15,15,2.54,0,2.483801296,0.705536
16,16,2.54,0,2.483801296,0.705536
17,17,2.54,0,2.483801296,0.705536
18,18,2.54,0,2.483801296,0.705536
19,19,2.54,0,2.483801296,0.705536
20,20,2.54,0,2.483801296,0.705536
21,21,2.54,0,2.483801296,0.705536
22,22,2.54,0,2.483801296,0.705536
23,23,2.54,0,2.483801296,0.705536
24,24,2.54,0,2.483801296,0.705536
25,25,2.54,0,2.483801296,0.705536
26,26,2.54,0,2.483801296,0.705536
27,27,2.54,0,2.483801296,0.705536
28,28,2.54,0,2.483801296,0.705536
29,29,2.54,0,2.483801296,0.705536
30,30,2.54,0,2.483801296,0.705536
31,31,2.54,0,2.483801296,0.705536
32,32,2.54,0,2.483801296,0.705536
33,33,2.54,0,2.483801296,0.705536
34,34,2.54,0,2.483801296,0.705536
35,35,2.54,0,2.483801296,0.705536
36,36,2.54,0,2.483801296,0.705536
37,37,2.54,0,2.483801296,0.705536
38,38,2.54,0,2.483801296,0.705536
39,39,2.54,0,2.483801296,0.705536
40,40,2.54,0,2.483801296,0.705536
41,41,2.54,0,2.483801296,0.705536
42,42,2.54,0,2.483801296,0.705536
43,43,2.54,0,2.483801296,0.705536
44,44,2.54,0,2.483801296,0.705536
45,45,2.54,0,2.483801296,0.705536
46,46,2.54,0,2.483801296,0.705536
47,47,2.54,0,2.483801296,0.705536
48,48,2.54,0,2.483801296,0.705536
49,49,2.54,0,2.483801296,0.705536
50,50,2.54,0,2.483801296,0.705536
51,51,2.54,0,2.483801296,0.705536
52,52,2.54,0,2.483801296,0.705536
53,53,2.54,0,2.483801296,0.705536
54,54,2.54,0,2.483801296,0.705536
55,55,2.54,0,2.483801296,0.705536
56,56,2.54,0,2.483801296,0.705536
57,57,2.54,0,2.483801296,0.705536
58,58,2.54,0,2.483801296,0.705536
59,59,2.54,0,2.483801296,0.705536
60,60,2.54,0,2.483801296,0.705536
61,61,2.54,0,2.483801296,0.705536
62,62,2.54,0,2.483801296,0.705536
63,63,2.54,0,2.483801296,0.705536
64,64,2.54,0,2.483801296,0.705536
65,65,2.54,0,2.483801296,0.705536
66,66,2.54,0,2.483801296,0.705536
67,67,2.54,0,2.483801296,0.705536
68,68,2.54,0,2.483801296,0.705536
69,69,2.54,0,2.483801296,0.705536
70,70,2.54,0,2.483801296,0.705536
71,71,2.54,0,2.483801296,0.705536
72,72,2.54,0,2.483801296,0.705536
73,73,2.581,0,2.494600432,0.705536
74,74,2.581,0,2.494600432,0.705536
75,75,2.581,0,2.494600432,0.705536
76,76,2.581,0,2.494600432,0.705536
77,77,2.581,0,2.494600432,0.705536
78,78,2.581,0,2.494600432,0.705536
79,79,2.581,0,2.494600432,0.705536
80,80,2.581,0,2.494600432,0.705536
81,81,2.581,0,2.494600432,0.705536
82,82,2.581,0,2.494600432,0.705536
83,83,2.581,0,2.494600432,0.705536
84,84,2.581,0,2.494600432,0.705536
