,Time_Index,NG,None,coal,uranium
0,0,0.05306,0,0.095487528,0
1,1,2.03096,0,2.46662,0.69888
2,2,2.03096,0,2.46662,0.69888
3,3,2.03096,0,2.46662,0.69888
4,4,2.03096,0,2.46662,0.69888
5,5,2.03096,0,2.46662,0.69888
6,6,2.03096,0,2.46662,0.69888
7,7,2.03096,0,2.46662,0.69888
8,8,2.03096,0,2.46662,0.69888
9,9,2.03096,0,2.46662,0.69888
10,10,2.03096,0,2.46662,0.69888
11,11,2.03096,0,2.46662,0.69888
12,12,2.03096,0,2.46662,0.69888
13,13,2.03096,0,2.46662,0.69888
14,14,2.03096,0,2.46662,0.69888
15,15,2.03096,0,2.46662,0.69888
16,16,2.03096,0,2.46662,0.69888
17,17,2.03096,0,2.46662,0.69888
18,18,2.03096,0,2.46662,0.69888
19,19,2.03096,0,2.46662,0.69888
20,20,2.03096,0,2.46662,0.69888
21,21,2.03096,0,2.46662,0.69888
22,22,2.03096,0,2.46662,0.69888
23,23,2.03096,0,2.46662,0.69888
24,24,2.03096,0,2.46662,0.69888
25,25,2.03096,0,2.46662,0.69888
26,26,2.03096,0,2.46662,0.69888
27,27,2.03096,0,2.46662,0.69888
28,28,2.03096,0,2.46662,0.69888
29,29,2.03096,0,2.46662,0.69888
30,30,2.03096,0,2.46662,0.69888
31,31,2.03096,0,2.46662,0.69888
32,32,2.03096,0,2.46662,0.69888
33,33,2.03096,0,2.46662,0.69888
34,34,2.03096,0,2.46662,0.69888
35,35,2.03096,0,2.46662,0.69888
36,36,2.03096,0,2.46662,0.69888
37,37,2.03096,0,2.46662,0.69888
38,38,2.03096,0,2.46662,0.69888
39,39,2.03096,0,2.46662,0.69888
40,40,2.03096,0,2.46662,0.69888
41,41,2.03096,0,2.46662,0.69888
42,42,2.03096,0,2.46662,0.69888
43,43,2.03096,0,2.46662,0.69888
44,44,2.03096,0,2.46662,0.69888
45,45,2.03096,0,2.46662,0.69888
46,46,2.03096,0,2.46662,0.69888
47,47,2.03096,0,2.46662,0.69888
48,48,2.03096,0,2.46662,0.69888
49,49,2.03096,0,2.46662,0.69888
50,50,2.03096,0,2.46662,0.69888
51,51,2.03096,0,2.46662,0.69888
52,52,2.03096,0,2.46662,0.69888
53,53,2.03096,0,2.46662,0.69888
54,54,2.03096,0,2.46662,0.69888
55,55,2.03096,0,2.46662,0.69888
56,56,2.03096,0,2.46662,0.69888
57,57,2.03096,0,2.46662,0.69888
58,58,2.03096,0,2.46662,0.69888
59,59,2.03096,0,2.46662,0.69888
60,60,2.03096,0,2.46662,0.69888
61,61,2.03096,0,2.46662,0.69888
62,62,2.03096,0,2.46662,0.69888
63,63,2.03096,0,2.46662,0.69888
64,64,2.03096,0,2.46662,0.69888
65,65,2.03096,0,2.46662,0.69888
66,66,2.03096,0,2.46662,0.69888
67,67,2.03096,0,2.46662,0.69888
68,68,2.03096,0,2.46662,0.69888
69,69,2.03096,0,2.46662,0.69888
70,70,2.03096,0,2.46662,0.69888
71,71,2.03096,0,2.46662,0.69888
72,72,2.03096,0,2.46662,0.69888
73,73,2.03096,0,2.46662,0.69888
74,74,2.03096,0,2.46662,0.69888
75,75,2.03096,0,2.46662,0.69888
76,76,2.03096,0,2.46662,0.69888
77,77,2.03096,0,2.46662,0.69888
78,78,2.03096,0,2.46662,0.69888
79,79,2.03096,0,2.46662,0.69888
80,80,2.03096,0,2.46662,0.69888
81,81,2.03096,0,2.46662,0.69888
82,82,2.03096,0,2.46662,0.69888
